Sex	Autonomous Communities and Cities	Age	Periodo	Total
Both genders	National Total	From 20 to 24 years	2013QI	53,39
Both genders	National Total	From 20 to 24 years	2012QIV	51,41
Both genders	National Total	From 20 to 24 years	2012QIII	47,68
Both genders	National Total	From 20 to 24 years	2012QII	48,7
Both genders	National Total	From 20 to 24 years	2012QI	47,71
Both genders	National Total	From 20 to 24 years	2011QIV	44,05
Both genders	National Total	From 20 to 24 years	2011QIII	42
Both genders	National Total	From 20 to 24 years	2011QII	42,17
Both genders	National Total	From 20 to 24 years	2011QI	41,14
Both genders	National Total	From 20 to 24 years	2010QIV	38,33
Both genders	National Total	From 20 to 24 years	2010QIII	35,95
Both genders	National Total	From 20 to 24 years	2010QII	36,96
Both genders	National Total	From 20 to 24 years	2010QI	36,31
Both genders	National Total	From 20 to 24 years	2009QIV	34,67
Both genders	National Total	From 20 to 24 years	2009QIII	34,54
Both genders	National Total	From 20 to 24 years	2009QII	33,26
Both genders	National Total	From 20 to 24 years	2009QI	30,63
Both genders	National Total	From 20 to 24 years	2008QIV	24,5
Both genders	National Total	From 20 to 24 years	2008QIII	19,8
Both genders	National Total	From 20 to 24 years	2008QII	18,56
Both genders	National Total	From 20 to 24 years	2008QI	17,75
Both genders	National Total	From 20 to 24 years	2007QIV	15,18
Both genders	National Total	From 20 to 24 years	2007QIII	14,91
Both genders	National Total	From 20 to 24 years	2007QII	14,78
Both genders	National Total	From 20 to 24 years	2007QI	15,02
Both genders	National Total	From 20 to 24 years	2006QIV	14,11
Both genders	National Total	From 20 to 24 years	2006QIII	14,46
Both genders	National Total	From 20 to 24 years	2006QII	14,54
Both genders	National Total	From 20 to 24 years	2006QI	15,85
Both genders	National Total	From 20 to 24 years	2005QIV	16,17
Both genders	National Total	From 20 to 24 years	2005QIII	15,4
Both genders	National Total	From 20 to 24 years	2005QII	17,27
Both genders	National Total	From 20 to 24 years	2005QI	19,23
Both genders	National Total	From 20 to 24 years	2004QIV	19,31
Both genders	National Total	From 20 to 24 years	2004QIII	19,57
Both genders	National Total	From 20 to 24 years	2004QII	20,11
Both genders	National Total	From 20 to 24 years	2004QI	20,3
Both genders	National Total	From 20 to 24 years	2003QIV	20,66
Both genders	National Total	From 20 to 24 years	2003QIII	19,76
Both genders	National Total	From 20 to 24 years	2003QII	19,26
Both genders	National Total	From 20 to 24 years	2003QI	20,85
Both genders	National Total	From 20 to 24 years	2002QIV	21,03
Both genders	National Total	From 20 to 24 years	2002QIII	19,89
Both genders	National Total	From 20 to 24 years	2002QII	19,49
Both genders	National Total	From 20 to 24 years	2002QI	20,42
Both genders	National Total	From 25 to 54 years	2026QI	9,72
Both genders	National Total	From 25 to 54 years	2025QIV	8,84
Both genders	National Total	From 25 to 54 years	2025QIII	9,04
Both genders	National Total	From 25 to 54 years	2025QII	9,02
Both genders	National Total	From 25 to 54 years	2025QI	10,2
Both genders	National Total	From 25 to 54 years	2024QIV	9,43
Both genders	National Total	From 25 to 54 years	2024QIII	9,78
Both genders	National Total	From 25 to 54 years	2024QII	10,11
Both genders	National Total	From 25 to 54 years	2024QI	11,17
Both genders	National Total	From 25 to 54 years	2023QIV	10,53
Both genders	National Total	From 25 to 54 years	2023QIII	10,47
Both genders	National Total	From 25 to 54 years	2023QII	10,27
Both genders	National Total	From 25 to 54 years	2023QI	12,33
Both genders	National Total	From 25 to 54 years	2022QIV	12,06
Both genders	National Total	From 25 to 54 years	2022QIII	11,57
Both genders	National Total	From 25 to 54 years	2022QII	11,38
Both genders	National Total	From 25 to 54 years	2022QI	12,72
Both genders	National Total	From 25 to 54 years	2021QIV	12,28
Both genders	National Total	From 25 to 54 years	2021QIII	13,32
Both genders	National Total	From 25 to 54 years	2021QII	14,04
Both genders	National Total	From 25 to 54 years	2021QI	15,14
Both genders	National Total	From 25 to 54 years	2020QIV	15,06
Both genders	National Total	From 25 to 54 years	2020QIII	15,12
Both genders	National Total	From 25 to 54 years	2020QII	14,37
Both genders	National Total	From 25 to 54 years	2020QI	13,39
